"gene.symbol","description","entrezgene"
"EIF2AK3","eukaryotic translation initiation factor 2-alpha kinase 3 [KO:K08860] [EC:2.7.11.1]","422930"
"EIF2AK4","eIF-2-alpha kinase GCN2 isoform X1 [KO:K16196] [EC:2.7.11.1]","423285"
"EIF2S1","eukaryotic translation initiation factor 2 subunit 1 [KO:K03237]","423279"
"EIF2B1","translation initiation factor eIF-2B subunit alpha [KO:K03239]","100857736"
"EIF2B2","translation initiation factor eIF-2B subunit beta [KO:K03754]","423359"
"EIF2B3","translation initiation factor eIF-2B subunit gamma [KO:K03241]","424587"
"EIF2B4","translation initiation factor eIF-2B subunit delta isoform X2 [KO:K03680]","425800"
"EIF2B5","translation initiation factor eIF-2B subunit epsilon isoform X1 [KO:K03240]","424948"
"RNASEL","2-5A-dependent ribonuclease [KO:K01165]","424410"
"HCFC2","host cell factor 2 isoform X4 [KO:K14966]","418083"
"POU2F1","POU domain, class 2, transcription factor 1 [KO:K09364]","396463"
"POU2F3","POU domain, class 2, transcription factor 3 isoform X1 [KO:K09364]","428240"
"IFNAR1","interferon alpha/beta receptor 1 precursor [KO:K05130]","395665"
"IFNAR2","interferon alpha/beta receptor 2 precursor [KO:K05131]","395664"
"SOCS3","suppressor of cytokine signaling 3 [KO:K04696]","395299"
"JAK1","tyrosine-protein kinase JAK1 [KO:K11217] [EC:2.7.10.2]","395681"
"TYK2","non-receptor tyrosine-protein kinase TYK2 isoform X1 [KO:K11219] [EC:2.7.10.2]","430113"
"STAT1","signal transducer and activator of transcription 1-alpha/beta [KO:K11220]","424044"
"STAT2","signal transducer and activator of transcription 2 isoform X1 [KO:K11221]","100858732"
"ZNF302","zinc finger protein 302 [KO:K09228]","417303"
"ZNF746","zinc finger protein 777 isoform X2 [KO:K09228]","420370"
"ZNF555","KRAB domain-containing protein 1 [KO:K09228]","426408"
"ZNF226L","zinc finger protein 501 isoform X4 [KO:K09228]","430731"
"ZNF767","zinc finger family member 767 [KO:K09228]","420372"
"ZNF398L","zinc finger protein 777 [KO:K09228]","101747780"
NA,"zinc finger protein 282-like isoform X1 [KO:K09228]","107052489"
NA,"zinc finger protein 501 [KO:K09228]","769660"
NA,"zinc finger protein 665-like [KO:K09228]","112531035"
"IFNG","interferon gamma precursor [KO:K04687]","396054"
"IFNGR1","interferon gamma receptor 1 precursor [KO:K05132]","421685"
"IFNGR2","interferon gamma receptor 2 precursor [KO:K05133]","418502"
"JAK2","tyrosine-protein kinase JAK2 [KO:K04447] [EC:2.7.10.2]","374199"
"PML","protein PML isoform X1 [KO:K10054]","415302"
"PMLL","protein PML [KO:K10054]","100857563"
"TAP1","antigen peptide transporter 1 [KO:K05653]","427727"
"TAP2","antigen peptide transporter 2 [KO:K05654]","427728"
"TAPBP","tapasin isoform 1 precursor [KO:K08058]","417048"
"PDIA3","protein disulfide-isomerase A3 precursor [KO:K08056] [EC:5.3.4.1]","373899"
"CALR","calreticulin [KO:K08057]","100859104"
"MHCIA6","class I histocompatibility antigen, F10 alpha chain [KO:K06751]","417057"
"BF2","Major histocompatibility complex class I antigen BF2 precursor [KO:K06751]","425389"
"YF5","MHC class I antigen YF5 precursor [KO:K06751]","427746"
"BF1","MHC BF1 class I precursor [KO:K06751]","693260"
"MICA","class I histocompatibility antigen, F10 alpha chain-like isoform X1 [KO:K06751]","417067"
"B2M","beta-2-microglobulin precursor [KO:K08055]","414830"
"BLB3","class II histocompatibility antigen, B-L beta chain isoform X1 [KO:K06752]","425256"
"BLB1","Major histocompatibility complex class II beta chain BLB1, (similar to HLA class II, D beta chain) precursor [KO:K06752]","693256"
"DMB2","major histocompatibility complex, class II, DM beta 2 precursor [KO:K06752]","417051"
"MHCDMA","B locus M alpha chain 1 precursor [KO:K06752]","417050"
"BLA","B-LA precursor [KO:K06752]","430189"
"BLB2","uncharacterized protein LOC101747454 precursor [KO:K06752]","101747454"
"CD74","HLA class II histocompatibility antigen gamma chain [KO:K06505]","414741"
"PIK3CA","phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform [KO:K00922] [EC:2.7.1.153]","424971"
"PIK3CD","phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform [KO:K00922] [EC:2.7.1.153]","419444"
"PIK3CB","phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform [KO:K00922] [EC:2.7.1.153]","424826"
"PIK3R3","phosphatidylinositol 3-kinase regulatory subunit gamma isoform X2 [KO:K02649]","429096"
"PIK3R2","phosphatidylinositol 3-kinase regulatory subunit beta [KO:K02649]","771142"
"PIK3R1","phosphatidylinositol 3-kinase regulatory subunit alpha isoform X2 [KO:K02649]","427171"
"AKT1","RAC-alpha serine/threonine-protein kinase [KO:K04456] [EC:2.7.11.1]","395928"
"AKT3","RAC-gamma serine/threonine-protein kinase isoform X1 [KO:K04456] [EC:2.7.11.1]","421497"
NA,"RAC-beta serine/threonine-protein kinase [KO:K04456] [EC:2.7.11.1]","101750560"
"TSC1","hamartin isoform X2 [KO:K07206]","417166"
"TSC2","tuberin isoform X1 [KO:K07207]","416552"
"RHEB","GTP-binding protein Rheb isoform X1 [KO:K07208]","420434"
"MTOR","serine/threonine-protein kinase mTOR [KO:K07203] [EC:2.7.11.1]","419455"
"EIF4EBP1","eukaryotic translation initiation factor 4E-binding protein 1 [KO:K07205]","426773"
"SRPK1","SRSF protein kinase 1 isoform X2 [KO:K15409] [EC:2.7.11.1]","421185"
"SRSF1","serine/arginine-rich splicing factor 1 [KO:K12890]","772264"
"SRSF2","serine/arginine-rich splicing factor 2 [KO:K12891]","396195"
"SRSF3","serine/arginine-rich splicing factor 3 [KO:K12892]","419815"
"SRSF4","serine/arginine-rich splicing factor 4 isoform X1 [KO:K12893]","419600"
"SRSF5","serine/arginine-rich splicing factor 5 [KO:K12893]","423258"
"SRSF6","splicing factor, arginine/serine-rich 6 [KO:K12893]","419116"
"SRSF5A","serine/arginine-rich splicing factor 5a [KO:K12893]","423265"
"SRSF7","serine and arginine rich splicing factor 7 [KO:K12896]","426265"
"SRSF7L","serine/arginine-rich splicing factor 7 [KO:K12896]","100859609"
"NXF1","nuclear RNA export factor 1 [KO:K14284]","101748079"
"ALYREF","THO complex subunit 4 [KO:K12881]","769169"
"FASLG","tumor necrosis factor ligand superfamily member 6 [KO:K04389]","429064"
"FAS","tumor necrosis factor receptor superfamily member 6 precursor [KO:K04390]","395274"
"TNFRSF1A","tumor necrosis factor receptor superfamily member 1A precursor [KO:K03158]","418325"
"TRADD","tumor necrosis factor receptor type 1-associated DEATH domain protein [KO:K03171]","415700"
"FADD","FAS-associated death domain protein [KO:K02373]","423146"
"CASP8","caspase-8 [KO:K04398] [EC:3.4.22.61]","395284"
"BID","BH3-interacting domain death agonist [KO:K04726]","395236"
"BAK1","bcl-2 homologous antagonist/killer [KO:K14021]","419912"
"BCL2","apoptosis regulator Bcl-2 [KO:K02161]","396282"
"BCL2L1","bcl-2-like protein 1 [KO:K04570]","373954"
"CYCS","cytochrome c [KO:K08738]","420624"
"APAF1","apoptotic protease-activating factor 1 isoform X3 [KO:K02084]","417926"
"CASP9","caspase-9 [KO:K04399] [EC:3.4.22.62]","426970"
"CASP3","caspase-3 [KO:K02187] [EC:3.4.22.56]","395476"
"PRSS3","trypsin I-P1 precursor [KO:K01312] [EC:3.4.21.4]","396345"
"PRSS2","trypsin II-P29 precursor [KO:K01312] [EC:3.4.21.4]","396344"
NA,"trypsin I-P1 [KO:K01312] [EC:3.4.21.4]","107050394"
NA,"trypsin II-P29 [KO:K01312] [EC:3.4.21.4]","107054567"
NA,"trypsin II-P29 [KO:K01312] [EC:3.4.21.4]","107054568"
"TMPRSS2","transmembrane protease serine 2 [KO:K09633] [EC:3.4.21.-]","418528"
"TMPRSS4","transmembrane protease serine 4 [KO:K09635] [EC:3.4.21.-]","770454"
NA,"dnaJ homolog subfamily B member 1 [KO:K09507]","107049075"
"DNAJC3","dnaJ homolog subfamily C member 3 precursor [KO:K09523]","418787"
"HSPA8","heat shock cognate 71 kDa protein [KO:K03283]","395853"
"HSPA2","heat shock 70 kDa protein [KO:K03283]","423504"
"MAP2K3","dual specificity mitogen-activated protein kinase kinase 3 [KO:K04432] [EC:2.7.12.2]","416496"
"MAP2K6","dual specificity mitogen-activated protein kinase kinase 6 isoform X1 [KO:K04433] [EC:2.7.12.2]","417445"
"MAPK11","mitogen-activated protein kinase 11 [KO:K04441] [EC:2.7.11.24]","417739"
"MAPK14","mitogen-activated protein kinase 14 isoform X1 [KO:K04441] [EC:2.7.11.24]","421183"
"MAPK12","mitogen-activated protein kinase 12 [KO:K04441] [EC:2.7.11.24]","769763"
"MAPK13","mitogen-activated protein kinase 13 isoform X1 [KO:K04441] [EC:2.7.11.24]","771145"
"MAP2K4","dual specificity mitogen-activated protein kinase kinase 4 isoform X1 [KO:K04430] [EC:2.7.12.2]","417312"
NA,"dual specificity mitogen-activated protein kinase kinase 7 isoform X1 [KO:K04431] [EC:2.7.12.2]","107050551"
"MAPK8","mitogen-activated protein kinase 8 isoform X1 [KO:K04440] [EC:2.7.11.24]","423778"
"MAPK9","mitogen-activated protein kinase 9 [KO:K04440] [EC:2.7.11.24]","395983"
"MAPK10","mitogen-activated protein kinase 10 isoform 1 [KO:K04440] [EC:2.7.11.24]","422592"
"JUN","transcription factor AP-1 [KO:K04448]","424673"
"ATF2","cyclic AMP-dependent transcription factor ATF-2 [KO:K04450]","395727"
"NLRX1","NLR family member X1 isoform X2 [KO:K12653]","419755"
"NFKBIB","NF-kappa-B inhibitor beta [KO:K02581]","100858419"
"TRIM25","E3 ubiquitin/ISG15 ligase TRIM25 [KO:K10652] [EC:2.3.2.27]","417401"
"CREBBP","CREB-binding protein isoform X1 [KO:K04498] [EC:2.3.1.48]","416667"
"EP300","histone acetyltransferase p300 [KO:K04498] [EC:2.3.1.48]","418000"
"TLR4","toll-like receptor 4 precursor [KO:K10160]","417241"
"TLR7","toll-like receptor 7 [KO:K05404]","418638"
"IL8L2","interleukin-8 precursor [KO:K10030]","396495"
"IL8L1","interleukin-8 precursor [KO:K10030]","395872"
"MX1","interferon-induced GTP-binding protein Mx [KO:K14754]","395313"
"ADAR","double-stranded RNA-specific adenosine deaminase [KO:K12968] [EC:3.5.4.37]","769675"
"CIITA","MHC class II transactivator isoform X1 [KO:K08060]","416633"
"NLRPL","NACHT, LRR and PYD domains-containing protein 3 [KO:K12800]","423021"
"CASP1","caspase-1 isoform X1 [KO:K01370] [EC:3.4.22.36]","395764"
"IL18","interleukin-18 [KO:K05482]","395312"
"TNFSF10","tumor necrosis factor ligand superfamily member 10 [KO:K04721]","378894"
"TNFRSF10B","tumor necrosis factor receptor superfamily member 10B precursor [KO:K04722]","373904"
"VDAC1","voltage-dependent anion-selective channel protein 1 [KO:K05862]","416320"
"GSK3B","glycogen synthase kinase-3 beta isoform X2 [KO:K03083] [EC:2.7.11.26]","418335"
"KPNA1","importin subunit alpha-5 [KO:K15042]","418271"
"KPNA2","importin subunit alpha-1 [KO:K15043]","417420"
"XPO1","exportin-1 [KO:K14290]","421192"
"AGFG1","arf-GAP domain and FG repeat-containing protein 1 isoform X1 [KO:K15044]","424793"
"PRKCA","protein kinase C alpha type [KO:K02677] [EC:2.7.11.13]","417430"
"RAF1","RAF proto-oncogene serine/threonine-protein kinase [KO:K04366] [EC:2.7.11.1]","396245"
"MAP2K1","dual specificity mitogen-activated protein kinase kinase 1 [KO:K04368] [EC:2.7.12.2]","415549"
"MAP2K2","dual specificity mitogen-activated protein kinase kinase 2 [KO:K04369] [EC:2.7.12.2]","396349"
"MAPK1","mitogen-activated protein kinase 1 [KO:K04371] [EC:2.7.11.24]","373953"
"RSAD2","radical S-adenosyl methionine domain-containing protein 2 [KO:K15045]","428650"
"FDPS","farnesyl pyrophosphate synthase isoform X1 [KO:K00787] [EC:2.5.1.10 2.5.1.1]","425061"
"ACTB","actin, cytoplasmic 1 [KO:K05692]","396526"
"ACTG1","actin, cytoplasmic type 5 [KO:K05692]","415296"
NA,"actin, cytoplasmic 2 [KO:K05692]","776816"
"IVNS1ABP","influenza virus NS1A-binding protein isoform X2 [KO:K15046]","426862"
"CPSF4","cleavage and polyadenylation specificity factor subunit 4 [KO:K14404]","416494"
"PABPN1L","embryonic polyadenylate-binding protein 2 [KO:K14396]","769028"
"NXT2","NTF2-related export protein 2 [KO:K14285]","422346"
"RAE1","mRNA export factor [KO:K14298]","419324"
"HNRNPUL1","heterogeneous nuclear ribonucleoprotein U-like protein 1 isoform X1 [KO:K15047]","776596"
"NUP98","LOW QUALITY PROTEIN: nuclear pore complex protein Nup98-Nup96 [KO:K14297]","430616"
"FURIN","furin precursor [KO:K01349] [EC:3.4.21.75]","395457"
"TMPRSS13","transmembrane protease serine 13 isoform X1 [KO:K09643]","100859131"
"PLG","plasminogen [KO:K01315] [EC:3.4.21.7]","421580"
"PLGL","plasminogen-like [KO:K01315] [EC:3.4.21.7]","428593"
"SLC25A6","ADP/ATP translocase 3 [KO:K05863]","374072"
"TLR5","toll-like receptor 5 precursor [KO:K10168]","554217"
"RAC1","ras-related C3 botulinum toxin substrate 1 [KO:K04392]","395871"
"CDC42","cell division control protein 42 homolog precursor [KO:K04393]","395917"
"RHOGL","transcription initiation factor TFIID subunit 1 [KO:K07863]","422207"
"RHOG","rho-related GTP-binding protein RhoG [KO:K07863]","100859599"
"FOS","proto-oncogene c-Fos [KO:K04379]","396512"
"CCL4","C-C motif chemokine 4 homolog precursor [KO:K12964]","395551"
"CSF2","colony stimulating factor 2 precursor [KO:K05427]","416325"
"WASF1","wiskott-Aldrich syndrome protein family member 1 isoform X1 [KO:K05753]","421761"
"WASF2","wiskott-Aldrich syndrome protein family member 2 [KO:K05748]","426359"
"WASL","neural Wiskott-Aldrich syndrome protein [KO:K05747]","417750"
"ARPC5","actin-related protein 2/3 complex subunit 5 [KO:K05754]","429075"
"ARPC5L","actin-related protein 2/3 complex subunit 5-like protein [KO:K05754]","101752218"
"ARPC4","actin-related protein 2/3 complex subunit 4 [KO:K05755]","416051"
"ARPC3","actin-related protein 2/3 complex subunit 3 [KO:K05756]","416837"
"ARPC1B","actin-related protein 2/3 complex subunit 1B [KO:K05757]","416490"
"ARPC1A","actin-related protein 2/3 complex subunit 1A [KO:K05757]","770269"
"ARPC2","actin-related protein 2/3 complex subunit 2 [KO:K05758]","429041"
"TJP1","tight junction protein ZO-1 isoform X1 [KO:K05701]","415388"
"PKN2","serine/threonine-protein kinase N2 isoform X1 [KO:K06071] [EC:2.7.11.13]","424519"
"PKN3","serine/threonine-protein kinase N3 isoform X1 [KO:K06071] [EC:2.7.11.13]","417209"
"ROCK1","rho-associated protein kinase 1 [KO:K04514] [EC:2.7.11.1]","373970"
"ROCK2","rho-associated protein kinase 2 isoform X1 [KO:K17388] [EC:2.7.11.1]","374182"
"PLEKHM2","pleckstrin homology domain-containing family M member 2 isoform X1 [KO:K15348]","419457"
"KLC1","kinesin light chain 1 isoform X7 [KO:K10407]","423484"
"KLC4","kinesin light chain 4 isoform X1 [KO:K10407]","769965"
"RAB7A","ras-related protein Rab-7a [KO:K07897]","416016"
"RAB7B","ras-related protein Rab-7b [KO:K07898]","771782"
"RILP","rab-interacting lysosomal protein [KO:K13883]","417558"
"DYNC1H1","cytoplasmic dynein 1 heavy chain 1 [KO:K10413]","423461"
"DYNC2H1","cytoplasmic dynein 2 heavy chain 1 isoform X2 [KO:K10414]","418979"
"DYNC1I1","cytoplasmic dynein 1 intermediate chain 1 isoform X1 [KO:K10415]","420571"
"DYNC1I2","cytoplasmic dynein 1 intermediate chain 2 [KO:K10415]","424151"
"DYNC1LI2","cytoplasmic dynein 1 light intermediate chain 2 [KO:K10416]","415793"
"DYNC1LI1","cytoplasmic dynein 1 light intermediate chain 1 [KO:K10416]","420668"
"DYNC1LI2L","cytoplasmic dynein 1 light intermediate chain 2-like [KO:K10416]","776720"
"PFN3","profilin-3 [KO:K05759]","428564"
"PFN1","profilin-2 [KO:K05759]","771904"
"PFN4","profilin-4 [KO:K05759]","107053160"
"FLNA","filamin-A [KO:K04437]","395261"
"FLNB","filamin-B [KO:K04437]","378913"
"FLNC","filamin-C [KO:K04437]","395260"
"NOS2","nitric oxide synthase, inducible [KO:K13241] [EC:1.14.13.39]","395807"
"TGFB2","transforming growth factor beta-2 precursor [KO:K13376]","421352"
"TGFB3","transforming growth factor beta-3 proprotein preproprotein [KO:K13377]","396438"
"TGFB1","transforming growth factor beta-1 proprotein precursor [KO:K13375]","100873157"
"TGFBR1","TGF-beta receptor type-1 precursor [KO:K04674] [EC:2.7.11.30]","374094"
"TGFBR2","TGF-beta receptor type-2 precursor [KO:K04388] [EC:2.7.11.30]","396399"
"AMHR2","TGF-beta receptor type-2 isoform X2 [KO:K04388] [EC:2.7.11.30]","424261"
"SMAD2Z","mothers against decapentaplegic homolog 2 [KO:K04500]","395247"
"SMAD3","mothers against decapentaplegic homolog 3 [KO:K04500]","395132"
"SMAD4","LOW QUALITY PROTEIN: mothers against decapentaplegic homolog 4 [KO:K04501]","107055136"
"CDKN1B","cyclin-dependent kinase inhibitor 1B [KO:K06624]","374106"
"FN1","fibronectin precursor [KO:K05717]","396133"
"COL1A2","collagen alpha-2(I) chain precursor [KO:K06236]","396243"
"COL1A1","collagen alpha-1(I) chain [KO:K06236]","395532"
"COL3A1","collagen alpha-1(III) chain precursor [KO:K19720]","396340"
"COL4A4","collagen alpha-4(IV) chain isoform X1 [KO:K06237]","424799"
"COL4A6","collagen alpha-6(IV) chain isoform X2 [KO:K06237]","422350"
"COL4A1","collagen alpha-1(IV) chain precursor [KO:K06237]","395530"
"COL4A2","collagen alpha-2(IV) chain precursor [KO:K06237]","418752"
"COL4A5","collagen alpha-5(IV) chain isoform X1 [KO:K06237]","422348"
"COL4A3","collagen alpha-3(IV) chain isoform X1 [KO:K06237]","424797"
"AGT","angiotensinogen [KO:K09821]","421543"
"AGTR1","type-1 angiotensin II receptor [KO:K04166]","396065"
"NOX1","NADPH oxidase 1 [KO:K08008]","422257"
"CYBB","cytochrome b-245 beta chain [KO:K21421] [EC:1.-.-.-]","418581"
"NOX4","NADPH oxidase 4 [KO:K21423] [EC:1.6.3.-]","419012"
"PLCD1","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1 isoform X4 [KO:K05857] [EC:3.1.4.11]","420416"
"PLCD4","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4 isoform X3 [KO:K05857] [EC:3.1.4.11]","424214"
"PLCD3","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3 isoform X5 [KO:K05857] [EC:3.1.4.11]","428279"
"PLCB2","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2 isoform X2 [KO:K05858] [EC:3.1.4.11]","423014"
"PLCB4","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4 [KO:K05858] [EC:3.1.4.11]","416730"
"PLCB1","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 isoform X1 [KO:K05858] [EC:3.1.4.11]","427687"
"PLCG1","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 isoform X1 [KO:K01116] [EC:3.1.4.11]","419175"
NA,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 isoform X2 [KO:K01116] [EC:3.1.4.11]","776273"
"PLCG2","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2 [KO:K05859] [EC:3.1.4.11]","415805"
"PLCE1","LOW QUALITY PROTEIN: 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1 [KO:K05860] [EC:3.1.4.11]","425224"
"PRKCB","protein kinase C beta type isoform X1 [KO:K19662] [EC:2.7.11.13]","416567"
"PRKCD","protein kinase C delta type [KO:K06068] [EC:2.7.11.13]","415905"
"PRKCE","protein kinase C epsilon type isoform X2 [KO:K18050] [EC:2.7.11.13]","421409"
"PRKCZ","protein kinase C zeta type isoform X3 [KO:K18952] [EC:2.7.11.13]","419399"
"VEGFA","vascular endothelial growth factor A isoform 1 precursor [KO:K05448]","395909"
"VEGFD","vascular endothelial growth factor D precursor [KO:K05449]","395255"
"VEGFC","vascular endothelial growth factor C [KO:K05449]","422573"
"SELE","LOW QUALITY PROTEIN: E-selectin [KO:K06494]","424402"
"VCAM1","vascular cell adhesion protein 1 isoform X2 [KO:K06527]","424467"
"MMP2","72 kDa type IV collagenase preproprotein [KO:K01398] [EC:3.4.24.24]","386583"
"F3","tissue factor [KO:K03901]","429084"
"EDN1","endothelin-1 [KO:K16366]","420854"
"THBD","thrombomodulin [KO:K03907]","101752029"
"HRAS","GTPase HRas precursor [KO:K02833]","396229"
"KRAS","GTPase KRas [KO:K07827]","418207"
"NRAS","GTPase NRas precursor [KO:K07828]","419885"
NA,"nitric oxide synthase, endothelial [KO:K13242] [EC:1.14.13.39]","107057170"
"FOXO1","forkhead box protein O1 [KO:K07201]","374231"
"STAT3","signal transducer and activator of transcription 3 [KO:K04692]","420027"
"PIM1","serine/threonine-protein kinase pim-1 isoform X1 [KO:K04702] [EC:2.7.11.1]","100858838"
"NFATC1","nuclear factor of activated T-cells, cytoplasmic 1 isoform X9 [KO:K04446]","420815"
"STAT5B","signal transducer and activator of transcription 5B [KO:K11224]","395556"
"CCND1","G1/S-specific cyclin-D1 [KO:K04503]","396341"
"EGR1","early growth response protein 1 [KO:K09203]","373931"
"TNFRSF1B","tumor necrosis factor receptor superfamily member 1B precursor [KO:K05141]","395083"
"NFKBIE","NF-kappa-B inhibitor epsilon [KO:K05872]","421438"
NA,"insulin receptor substrate 1 [KO:K16172]","107051846"
"IRS4","insulin receptor substrate 4 [KO:K07187]","422347"
"IRS2","insulin receptor substrate 2 isoform X1 [KO:K07187]","101749060"
"CD36","platelet glycoprotein 4 [KO:K06259]","417730"
"ACSL3","long-chain-fatty-acid--CoA ligase 3 [KO:K01897] [EC:6.2.1.3]","424810"
"ACSL4","long-chain-fatty-acid--CoA ligase 4 isoform X1 [KO:K01897] [EC:6.2.1.3]","422345"
"ACSL5","long-chain-fatty-acid--CoA ligase 5 [KO:K01897] [EC:6.2.1.3]","423896"
"ACSL1","long-chain-fatty-acid--CoA ligase 1 [KO:K01897] [EC:6.2.1.3]","422547"
"ACSL6","long-chain-fatty-acid--CoA ligase 6 isoform X3 [KO:K01897] [EC:6.2.1.3]","416324"
"ACSBG1","long-chain-fatty-acid--CoA ligase ACSBG1 isoform X2 [KO:K15013] [EC:6.2.1.3]","415361"
"ACSBG2","long-chain-fatty-acid--CoA ligase ACSBG2 [KO:K15013] [EC:6.2.1.3]","420090"
"PRKCQ","protein kinase C theta type [KO:K18052] [EC:2.7.11.13]","776459"
"LEPR","leptin receptor precursor [KO:K05062]","374223"
"POMC","pro-opiomelanocortin precursor [KO:K05228]","422011"
"PRKAA1","5'-AMP-activated protein kinase catalytic subunit alpha-1 [KO:K07198] [EC:2.7.11.11]","427185"
"PRKAA2","5'-AMP-activated protein kinase catalytic subunit alpha-2 [KO:K07198] [EC:2.7.11.11]","429110"
"PRKAB1","5'-AMP-activated protein kinase subunit beta-1 [KO:K07199]","416986"
"PRKAB2","5'-AMP-activated protein kinase subunit beta-2 [KO:K07199]","427017"
