"gene.symbol","description","entrezgene"
"Gstp1","glutathione S-transferase, pi 1 [KO:K00799] [EC:2.5.1.18]","14870"
"Gstt1","glutathione S-transferase, theta 1 [KO:K00799] [EC:2.5.1.18]","14871"
"Gstt2","glutathione S-transferase, theta 2 [KO:K00799] [EC:2.5.1.18]","14872"
"Gsto1","glutathione S-transferase omega 1 [KO:K00799] [EC:2.5.1.18]","14873"
"Gstm3","glutathione S-transferase, mu 3 [KO:K00799] [EC:2.5.1.18]","14864"
"Mgst3","microsomal glutathione S-transferase 3 [KO:K00799] [EC:2.5.1.18]","66447"
"Gsta1","glutathione S-transferase, alpha 1 (Ya) [KO:K00799] [EC:2.5.1.18]","14857"
"Gstp2","glutathione S-transferase, pi 2 [KO:K00799] [EC:2.5.1.18]","14869"
"Mgst1","microsomal glutathione S-transferase 1 [KO:K00799] [EC:2.5.1.18]","56615"
"Gsto2","glutathione S-transferase omega 2 [KO:K00799] [EC:2.5.1.18]","68214"
"Gstm7","glutathione S-transferase, mu 7 [KO:K00799] [EC:2.5.1.18]","68312"
"Gstm4","glutathione S-transferase, mu 4 [KO:K00799] [EC:2.5.1.18]","14865"
"Mgst2","microsomal glutathione S-transferase 2 [KO:K00799] [EC:2.5.1.18]","211666"
"Gstt3","glutathione S-transferase, theta 3 [KO:K00799] [EC:2.5.1.18]","103140"
"Gstt4","glutathione S-transferase, theta 4 [KO:K00799] [EC:2.5.1.18]","75886"
"Nqo1","NAD(P)H dehydrogenase, quinone 1 [KO:K00355] [EC:1.6.5.2]","18104"
"Sqstm1","sequestosome 1 [KO:K14381]","18412"
"Txn1","thioredoxin 1 [KO:K03671]","22166"
"Txn2","thioredoxin 2 [KO:K03671]","56551"
"Nppc","natriuretic peptide type C [KO:K12336]","18159"
"Ass1","argininosuccinate synthetase 1 [KO:K01940] [EC:6.3.4.5]","11898"
"Thbd","thrombomodulin [KO:K03907]","21824"
"Plat","plasminogen activator, tissue [KO:K01343] [EC:3.4.21.68]","18791"
"Cdh5","cadherin 5 [KO:K06533]","12562"
"Kdr","kinase insert domain protein receptor [KO:K05098] [EC:2.7.10.1]","16542"
"Ctnnb1","catenin (cadherin associated protein), beta 1 [KO:K02105]","12387"
"Prkaa1","protein kinase, AMP-activated, alpha 1 catalytic subunit [KO:K07198] [EC:2.7.11.11]","105787"
"Prkaa2","protein kinase, AMP-activated, alpha 2 catalytic subunit [KO:K07198] [EC:2.7.11.11]","108079"
"Pecam1","platelet/endothelial cell adhesion molecule 1 [KO:K06471]","18613"
"Pik3ca","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [KO:K00922] [EC:2.7.1.153]","18706"
"Pik3cd","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [KO:K00922] [EC:2.7.1.153]","18707"
"Pik3cb","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [KO:K00922] [EC:2.7.1.153]","74769"
"Pik3r2","phosphoinositide-3-kinase regulatory subunit 2 [KO:K02649]","18709"
"Pik3r1","phosphoinositide-3-kinase regulatory subunit 1 [KO:K02649]","18708"
"Pik3r3","phosphoinositide-3-kinase regulatory subunit 3 [KO:K02649]","18710"
"Akt1","thymoma viral proto-oncogene 1 [KO:K04456] [EC:2.7.11.1]","11651"
"Akt2","thymoma viral proto-oncogene 2 [KO:K04456] [EC:2.7.11.1]","11652"
"Akt3","thymoma viral proto-oncogene 3 [KO:K04456] [EC:2.7.11.1]","23797"
"Map2k5","mitogen-activated protein kinase kinase 5 [KO:K04463] [EC:2.7.12.2]","23938"
"Mapk7","mitogen-activated protein kinase 7 [KO:K04464] [EC:2.7.11.24]","23939"
"Mef2a","myocyte enhancer factor 2A [KO:K09260]","17258"
"Mef2c","myocyte enhancer factor 2C [KO:K04454]","17260"
"Klf2","Kruppel-like factor 2 (lung) [KO:K17845]","16598"
"Itga2b","integrin alpha 2b [KO:K06476]","16399"
"Itgav","integrin alpha V [KO:K06487]","16410"
"Itgb3","integrin beta 3 [KO:K06493]","16416"
"Src","Rous sarcoma oncogene [KO:K05704] [EC:2.7.10.2]","20779"
"Ptk2","PTK2 protein tyrosine kinase 2 [KO:K05725] [EC:2.7.10.2]","14083"
"Arhgef2","rho/rac guanine nucleotide exchange factor (GEF) 2 [KO:K12791]","16800"
"Rhoa","ras homolog family member A [KO:K04513]","11848"
"4930544G11Rik","RIKEN cDNA 4930544G11 gene [KO:K04513]","67653"
"Actb","actin, beta [KO:K05692]","11461"
"Actg1","actin, gamma, cytoplasmic 1 [KO:K05692]","11465"
"Dusp1","dual specificity phosphatase 1 [KO:K21278] [EC:3.1.3.48 3.1.3.16]","19252"
"Mir10a","microRNA 10a [KO:K16864]","723893"
"Tnfrsf1a","tumor necrosis factor receptor superfamily, member 1a [KO:K03158]","21937"
"Il1r1","interleukin 1 receptor, type I [KO:K04386]","16177"
"Il1r2","interleukin 1 receptor, type II [KO:K04387]","16178"
"Map3k7","mitogen-activated protein kinase kinase kinase 7 [KO:K04427] [EC:2.7.11.25]","26409"
"Ikbkg","inhibitor of kappaB kinase gamma [KO:K07210]","16151"
"Chuk","conserved helix-loop-helix ubiquitous kinase [KO:K04467] [EC:2.7.11.10]","12675"
"Ikbkb","inhibitor of kappaB kinase beta [KO:K07209] [EC:2.7.11.10]","16150"
"Nfkb1","nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105 [KO:K02580]","18033"
"Rela","v-rel reticuloendotheliosis viral oncogene homolog A (avian) [KO:K04735]","19697"
"Map3k5","mitogen-activated protein kinase kinase kinase 5 [KO:K04426] [EC:2.7.11.25]","26408"
"Map2k4","mitogen-activated protein kinase kinase 4 [KO:K04430] [EC:2.7.12.2]","26398"
"Map2k7","mitogen-activated protein kinase kinase 7 [KO:K04431] [EC:2.7.12.2]","26400"
"Mapk8","mitogen-activated protein kinase 8 [KO:K04440] [EC:2.7.11.24]","26419"
"Mapk9","mitogen-activated protein kinase 9 [KO:K04440] [EC:2.7.11.24]","26420"
"Mapk10","mitogen-activated protein kinase 10 [KO:K04440] [EC:2.7.11.24]","26414"
"Map2k6","mitogen-activated protein kinase kinase 6 [KO:K04433] [EC:2.7.12.2]","26399"
"Mapk14","mitogen-activated protein kinase 14 [KO:K04441] [EC:2.7.11.24]","26416"
"Mapk11","mitogen-activated protein kinase 11 [KO:K04441] [EC:2.7.11.24]","19094"
"Mapk12","mitogen-activated protein kinase 12 [KO:K04441] [EC:2.7.11.24]","29857"
"Mapk13","mitogen-activated protein kinase 13 [KO:K04441] [EC:2.7.11.24]","26415"
"Fos","FBJ osteosarcoma oncogene [KO:K04379]","14281"
"Jun","jun proto-oncogene [KO:K04448]","16476"
"Mmp2","matrix metallopeptidase 2 [KO:K01398] [EC:3.4.24.24]","17390"
"Mmp9","matrix metallopeptidase 9 [KO:K01403] [EC:3.4.24.35]","17395"
"Ctsl","cathepsin L [KO:K01365] [EC:3.4.22.15]","13039"
"Ccl2","chemokine (C-C motif) ligand 2 [KO:K14624]","20296"
"Ccl12","chemokine (C-C motif) ligand 12 [KO:K14624]","20293"
"Vcam1","vascular cell adhesion molecule 1 [KO:K06527]","22329"
"Icam1","intercellular adhesion molecule 1 [KO:K06490]","15894"
"Sele","selectin, endothelial cell [KO:K06494]","20339"
"Tnf","tumor necrosis factor [KO:K03156]","21926"
"Il1a","interleukin 1 alpha [KO:K04383]","16175"
"Il1b","interleukin 1 beta [KO:K04519]","16176"
"Ifng","interferon gamma [KO:K04687]","15978"
"Pdgfa","platelet derived growth factor, alpha [KO:K04359]","18590"
"Pdgfb","platelet derived growth factor, B polypeptide [KO:K17386]","18591"
"Edn1","endothelin 1 [KO:K16366]","13614"
"Vegfa","vascular endothelial growth factor A [KO:K05448]","22339"
"Bmp4","bone morphogenetic protein 4 [KO:K04662]","12159"
"Bmpr2","bone morphogenetic protein receptor, type II (serine/threonine kinase) [KO:K04671] [EC:2.7.11.30]","12168"
"Acvr2b","activin receptor IIB [KO:K13596] [EC:2.7.11.30]","11481"
"Acvr2a","activin receptor IIA [KO:K13596] [EC:2.7.11.30]","11480"
"Acvr1","activin A receptor, type 1 [KO:K04675] [EC:2.7.11.30]","11477"
"Bmpr1a","bone morphogenetic protein receptor, type 1A [KO:K04673] [EC:2.7.11.30]","12166"
"Bmpr1b","bone morphogenetic protein receptor, type 1B [KO:K13578] [EC:2.7.11.30]","12167"
"Nox1","NADPH oxidase 1 [KO:K08008]","237038"
"Cyba","cytochrome b-245, alpha polypeptide [KO:K08009]","13057"
"Ncf1","neutrophil cytosolic factor 1 [KO:K08011]","17969"
"Ncf2","neutrophil cytosolic factor 2 [KO:K08010]","17970"
"Rac1","Rac family small GTPase 1 [KO:K04392]","19353"
"Rac2","Rac family small GTPase 2 [KO:K07860]","19354"
"Rac3","Rac family small GTPase 3 [KO:K07861]","170758"
"Prkcz","protein kinase C, zeta [KO:K18952] [EC:2.7.11.13]","18762"
"Pias4","protein inhibitor of activated STAT 4 [KO:K16065] [EC:2.3.2.27]","59004"
"Trp53","transformation related protein 53 [KO:K04451]","22059"
"Sumo2","small ubiquitin-like modifier 2 [KO:K12160]","170930"
"Sumo3","small ubiquitin-like modifier 3 [KO:K12160]","20610"
"Sumo1","small ubiquitin-like modifier 1 [KO:K12160]","22218"
"Bcl2","B cell leukemia/lymphoma 2 [KO:K02161]","12043"
"Cxadr","coxsackie virus and adenovirus receptor [KO:K06788]","13052"
"Cd55","CD55 molecule, decay accelerating factor for complement [KO:K04006]","13136"
"Cd55b","CD55 molecule, decay accelerating factor for complement B [KO:K04006]","13137"
"Fyn","Fyn proto-oncogene [KO:K05703] [EC:2.7.10.2]","14360"
"Abl1","c-abl oncogene 1, non-receptor tyrosine kinase [KO:K06619] [EC:2.7.10.2]","11350"
"Abl2","v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene) [KO:K08887] [EC:2.7.10.2]","11352"
"Sgcd","sarcoglycan, delta (dystrophin-associated glycoprotein) [KO:K12563]","24052"
"Sgcg","sarcoglycan, gamma (dystrophin-associated glycoprotein) [KO:K12564]","24053"
"Sgca","sarcoglycan, alpha (dystrophin-associated glycoprotein) [KO:K12565]","20391"
"Sgcb","sarcoglycan, beta (dystrophin-associated glycoprotein) [KO:K12566]","24051"
"Dag1","dystroglycan 1 [KO:K06265]","13138"
"Dmd","dystrophin, muscular dystrophy [KO:K10366]","13405"
"Eif4g2","eukaryotic translation initiation factor 4, gamma 2 [KO:K03260]","13690"
"Eif4g3","eukaryotic translation initiation factor 4 gamma, 3 [KO:K03260]","230861"
"Eif4g1","eukaryotic translation initiation factor 4, gamma 1 [KO:K03260]","208643"
"Ccnd1","cyclin D1 [KO:K04503]","12443"
"Casp8","caspase 8 [KO:K04398] [EC:3.4.22.61]","12370"
"Bid","BH3 interacting domain death agonist [KO:K04726]","12122"
"Cycs","cytochrome c, somatic [KO:K08738]","13063"
"Cyct","cytochrome c, testis [KO:K08738]","13067"
"Casp9","caspase 9 [KO:K04399] [EC:3.4.22.62]","12371"
"Casp3","caspase 3 [KO:K02187] [EC:3.4.22.56]","12367"
"Myh7","myosin, heavy polypeptide 7, cardiac muscle, beta [KO:K17751]","140781"
"Myh6","myosin, heavy polypeptide 6, cardiac muscle, alpha [KO:K17751]","17888"
"Cd40lg","CD40 ligand [KO:K03161]","21947"
"Cd40","CD40 antigen [KO:K03160]","21939"
"H2-Aa","histocompatibility 2, class II antigen A, alpha [KO:K06752]","14960"
"H2-Ab1","histocompatibility 2, class II antigen A, beta 1 [KO:K06752]","14961"
"H2-Eb1","histocompatibility 2, class II antigen E beta [KO:K06752]","14969"
"H2-DMa","histocompatibility 2, class II, locus DMa [KO:K06752]","14998"
"H2-DMb1","histocompatibility 2, class II, locus Mb1 [KO:K06752]","14999"
"H2-DMb2","histocompatibility 2, class II, locus Mb2 [KO:K06752]","15000"
"H2-Oa","histocompatibility 2, O region alpha locus [KO:K06752]","15001"
"H2-Ob","histocompatibility 2, O region beta locus [KO:K06752]","15002"
"H2-Ea-ps","histocompatibility 2, class II antigen E alpha, pseudogene [KO:K06752]","100504404"
"H2-M2","histocompatibility 2, M region locus 2 [KO:K06751]","14990"
"H2-M3","histocompatibility 2, M region locus 3 [KO:K06751]","14991"
"H2-M9","histocompatibility 2, M region locus 9 [KO:K06751]","14997"
"H2-Q1","histocompatibility 2, Q region locus 1 [KO:K06751]","15006"
"H2-Q10","histocompatibility 2, Q region locus 10 [KO:K06751]","15007"
"H2-Q2","histocompatibility 2, Q region locus 2 [KO:K06751]","15013"
"H2-Q7","histocompatibility 2, Q region locus 7 [KO:K06751]","15018"
"H2-Q8","histocompatibility 2, Q region locus 8 [KO:K06751]","15019"
"H2-T22","histocompatibility 2, T region locus 22 [KO:K06751]","15039"
"H2-T23","histocompatibility 2, T region locus 23 [KO:K06751]","15040"
"H2-T24","histocompatibility 2, T region locus 24 [KO:K06751]","15042"
"H2-T3","histocompatibility 2, T region locus 3 [KO:K06751]","15043"
"H2-T9","histocompatibility 2, T region locus 9 [KO:K06751]","15051"
"H2-M10.4","histocompatibility 2, M region locus 10.4 [KO:K06751]","224753"
"H2-M11","histocompatibility 2, M region locus 11 [KO:K06751]","224754"
"H2-M1","histocompatibility 2, M region locus 1 [KO:K06751]","224756"
"H2-M10.5","histocompatibility 2, M region locus 10.5 [KO:K06751]","224761"
"H2-M10.2","histocompatibility 2, M region locus 10.2 [KO:K06751]","333715"
"H2-M10.6","histocompatibility 2, M region locus 10.6 [KO:K06751]","399549"
"H2-T10","histocompatibility 2, T region locus 10 [KO:K06751]","15024"
"H2-Q6","histocompatibility 2, Q region locus 6 [KO:K06751]","110557"
"H2-M10.3","histocompatibility 2, M region locus 10.3 [KO:K06751]","110696"
"H2-Bl","histocompatibility 2, blastocyst [KO:K06751]","14963"
"H2-D1","histocompatibility 2, D region locus 1 [KO:K06751]","14964"
"H2-K1","histocompatibility 2, K1, K region [KO:K06751]","14972"
"H2-M10.1","histocompatibility 2, M region locus 10.1 [KO:K06751]","14985"
"H2-K1","MHC class I family member [KO:K06751]","547349"
"H2-T18","histocompatibility 2, T region locus 18 [KO:K06751]","15033"
"H2-Q9","histocompatibility 2, Q region locus 9 [KO:K06751]","110558"
"Gm8909","predicted gene 8909 [KO:K06751]","667977"
"H2-L","histocompatibility 2, D region locus L [KO:K06751]","14980"
"Gm10499","predicted gene 10499 [KO:K06751]","69717"
"H2-Q4","histocompatibility 2, Q region locus 4 [KO:K06751]","15015"
"H2-T-ps","histocompatibility 2, T region locus, pseudogene [KO:K06751]","667803"
"Gm11127","predicted gene 11127 [KO:K06751]","100529082"
"H2-M5","histocompatibility 2, M region locus 5 [KO:K06751]","240095"
"Gm7030","predicted gene 7030 [KO:K06751]","630294"
"Cd80","CD80 antigen [KO:K05412]","12519"
"Cd86","CD86 antigen [KO:K05413]","12524"
"Cd28","CD28 antigen [KO:K06470]","12487"
"Prf1","perforin 1 (pore forming protein) [KO:K07818]","18646"
"Itgal","integrin alpha L [KO:K05718]","16408"
"Itgb2","integrin beta 2 [KO:K06464]","16414"
"Itgb2l","integrin beta 2-like [KO:K06464]","16415"
"CRP55H","Ig heavy chain Mem5-like [KO:K06856]","641025"
"Lama2","laminin, alpha 2 [KO:K05637]","16773"
"Itga1","integrin alpha 1 [KO:K06480]","109700"
"Itga2","integrin alpha 2 [KO:K06481]","16398"
"Itga3","integrin alpha 3 [KO:K06482]","16400"
"Itga4","integrin alpha 4 [KO:K06483]","16401"
"Itga5","integrin alpha 5 (fibronectin receptor alpha) [KO:K06484]","16402"
"Itga6","integrin alpha 6 [KO:K06485]","16403"
"Itga7","integrin alpha 7 [KO:K06583]","16404"
"Itga8","integrin alpha 8 [KO:K06584]","241226"
"Itga9","integrin alpha 9 [KO:K06585]","104099"
"Itga10","integrin, alpha 10 [KO:K06586]","213119"
"Itga11","integrin alpha 11 [KO:K06587]","319480"
"Itgb1","integrin beta 1 (fibronectin receptor beta) [KO:K05719]","16412"
"Itgb4","integrin beta 4 [KO:K06525]","192897"
"Itgb5","integrin beta 5 [KO:K06588]","16419"
"Itgb6","integrin beta 6 [KO:K06589]","16420"
"Itgb7","integrin beta 7 [KO:K06590]","16421"
"Itgb8","integrin beta 8 [KO:K06591]","320910"
"Des","desmin [KO:K07610]","13346"
"Ttn","titin [KO:K12567] [EC:2.7.11.1]","22138"
"Tnnt2","troponin T2, cardiac [KO:K12045]","21956"
"Tnnc1","troponin C, cardiac/slow skeletal [KO:K05865]","21924"
"Tnni3","troponin I, cardiac 3 [KO:K12044]","21954"
"Actc1","actin, alpha, cardiac muscle 1 [KO:K12314]","11464"
"Tpm1","tropomyosin 1, alpha [KO:K10373]","22003"
"Tpm2","tropomyosin 2, beta [KO:K10374]","22004"
"Tpm3","tropomyosin 3, gamma [KO:K09290]","59069"
"Tpm4","tropomyosin 4 [KO:K10375]","326618"
"Mybpc3","myosin binding protein C, cardiac [KO:K12568]","17868"
"Myl3","myosin, light polypeptide 3 [KO:K12749]","17897"
"Myl2","myosin, light polypeptide 2, regulatory, cardiac, slow [KO:K10351]","17906"
"Emd","emerin [KO:K12569]","13726"
"Lmna","lamin A [KO:K12641]","16905"
"Adrb1","adrenergic receptor, beta 1 [KO:K04141]","11554"
"Gnas","GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus [KO:K04632]","14683"
"Adcy1","adenylate cyclase 1 [KO:K08041] [EC:4.6.1.1]","432530"
"Adcy2","adenylate cyclase 2 [KO:K08042] [EC:4.6.1.1]","210044"
"Adcy3","adenylate cyclase 3 [KO:K08043] [EC:4.6.1.1]","104111"
"Adcy4","adenylate cyclase 4 [KO:K08044] [EC:4.6.1.1]","104110"
"Adcy5","adenylate cyclase 5 [KO:K08045] [EC:4.6.1.1]","224129"
"Adcy6","adenylate cyclase 6 [KO:K08046] [EC:4.6.1.1]","11512"
"Adcy7","adenylate cyclase 7 [KO:K08047] [EC:4.6.1.1]","11513"
"Adcy8","adenylate cyclase 8 [KO:K08048] [EC:4.6.1.1]","11514"
"Adcy9","adenylate cyclase 9 [KO:K08049] [EC:4.6.1.1]","11515"
"Prkaca","protein kinase, cAMP dependent, catalytic, alpha [KO:K04345] [EC:2.7.11.11]","18747"
"Prkacb","protein kinase, cAMP dependent, catalytic, beta [KO:K04345] [EC:2.7.11.11]","18749"
"Cacna1c","calcium channel, voltage-dependent, L type, alpha 1C subunit [KO:K04850]","12288"
"Cacna1d","calcium channel, voltage-dependent, L type, alpha 1D subunit [KO:K04851]","12289"
"Cacna1f","calcium channel, voltage-dependent, alpha 1F subunit [KO:K04853]","54652"
"Cacna1s","calcium channel, voltage-dependent, L type, alpha 1S subunit [KO:K04857]","12292"
"Cacnb1","calcium channel, voltage-dependent, beta 1 subunit [KO:K04862]","12295"
"Cacnb2","calcium channel, voltage-dependent, beta 2 subunit [KO:K04863]","12296"
"Cacnb3","calcium channel, voltage-dependent, beta 3 subunit [KO:K04864]","12297"
"Cacnb4","calcium channel, voltage-dependent, beta 4 subunit [KO:K04865]","12298"
"Cacna2d1","calcium channel, voltage-dependent, alpha2/delta subunit 1 [KO:K04858]","12293"
"Cacna2d2","calcium channel, voltage-dependent, alpha 2/delta subunit 2 [KO:K04859]","56808"
"Cacna2d3","calcium channel, voltage-dependent, alpha2/delta subunit 3 [KO:K04860]","12294"
"Cacna2d4","calcium channel, voltage-dependent, alpha 2/delta subunit 4 [KO:K04861]","319734"
"Cacng1","calcium channel, voltage-dependent, gamma subunit 1 [KO:K04866]","12299"
"Cacng2","calcium channel, voltage-dependent, gamma subunit 2 [KO:K04867]","12300"
"Cacng3","calcium channel, voltage-dependent, gamma subunit 3 [KO:K04868]","54376"
"Cacng4","calcium channel, voltage-dependent, gamma subunit 4 [KO:K04869]","54377"
"Cacng5","calcium channel, voltage-dependent, gamma subunit 5 [KO:K04870]","140723"
"Cacng6","calcium channel, voltage-dependent, gamma subunit 6 [KO:K04871]","54378"
"Cacng7","calcium channel, voltage-dependent, gamma subunit 7 [KO:K04872]","81904"
"Cacng8","calcium channel, voltage-dependent, gamma subunit 8 [KO:K04873]","81905"
"Ryr2","ryanodine receptor 2, cardiac [KO:K04962]","20191"
"Pln","phospholamban [KO:K05852]","18821"
"Igf1","insulin-like growth factor 1 [KO:K05459]","16000"
"Tgfb1","transforming growth factor, beta 1 [KO:K13375]","21803"
"Tgfb2","transforming growth factor, beta 2 [KO:K13376]","21808"
"Tgfb3","transforming growth factor, beta 3 [KO:K13377]","21809"
"Agt","angiotensinogen (serpin peptidase inhibitor, clade A, member 8) [KO:K09821]","11606"
"Atp2a2","ATPase, Ca++ transporting, cardiac muscle, slow twitch 2 [KO:K05853] [EC:7.2.2.10]","11938"
"Slc8a1","solute carrier family 8 (sodium/calcium exchanger), member 1 [KO:K05849]","20541"
"Tcf7","transcription factor 7, T cell specific [KO:K02620]","21414"
"Tcf7l1","transcription factor 7 like 1 (T cell specific, HMG box) [KO:K04490]","21415"
"Tcf7l2","transcription factor 7 like 2, T cell specific, HMG box [KO:K04491]","21416"
"Lef1","lymphoid enhancer binding factor 1 [KO:K04492]","16842"
"Cdh2","cadherin 2 [KO:K06736]","12558"
"Jup","junction plakoglobin [KO:K10056]","16480"
"Ctnna2","catenin (cadherin associated protein), alpha 2 [KO:K05691]","12386"
"Ctnna3","catenin (cadherin associated protein), alpha 3 [KO:K05691]","216033"
"Ctnna1","catenin (cadherin associated protein), alpha 1 [KO:K05691]","12385"
"Actn3","actinin alpha 3 [KO:K21073]","11474"
"Actn2","actinin alpha 2 [KO:K21073]","11472"
"Dsc2","desmocollin 2 [KO:K07601]","13506"
"Pkp2","plakophilin 2 [KO:K12642]","67451"
"Dsp","desmoplakin [KO:K10381]","109620"
"Dsg2","desmoglein 2 [KO:K07597]","13511"
"Gja1","gap junction protein, alpha 1 [KO:K07372]","14609"
"Prkab1","protein kinase, AMP-activated, beta 1 non-catalytic subunit [KO:K07199]","19079"
"Prkab2","protein kinase, AMP-activated, beta 2 non-catalytic subunit [KO:K07199]","108097"
"Prkag1","protein kinase, AMP-activated, gamma 1 non-catalytic subunit [KO:K07200]","19082"
"Prkag3","protein kinase, AMP-activated, gamma 3 non-catalytic subunit [KO:K07200]","241113"
"Prkag2","protein kinase, AMP-activated, gamma 2 non-catalytic subunit [KO:K07200]","108099"
"Ace","angiotensin I converting enzyme (peptidyl-dipeptidase A) 1 [KO:K01283] [EC:3.4.15.1]","11421"
"Ace3","angiotensin I converting enzyme (peptidyl-dipeptidase A) 3 [KO:K01283] [EC:3.4.15.1]","217246"
"Il6","interleukin 6 [KO:K05405]","16193"
"Ada","adenosine deaminase [KO:K01488] [EC:3.5.4.4]","11486"
"Il7r","interleukin 7 receptor [KO:K05072]","16197"
"Il2rg","interleukin 2 receptor, gamma chain [KO:K05070]","16186"
"Dclre1c","DNA cross-link repair 1C [KO:K10887] [EC:3.1.-.-]","227525"
"Rag1","recombination activating gene 1 [KO:K10628] [EC:2.3.2.27]","19373"
"Rag2","recombination activating gene 2 [KO:K10988]","19374"
"Cd3d","CD3 antigen, delta polypeptide [KO:K06450]","12500"
"Cd3e","CD3 antigen, epsilon polypeptide [KO:K06451]","12501"
"Ptprc","protein tyrosine phosphatase, receptor type, C [KO:K06478] [EC:3.1.3.48]","19264"
"Cd4","CD4 antigen [KO:K06454]","12504"
"Cd8a","CD8 antigen, alpha chain [KO:K06458]","12525"
"Cd8b1","CD8 antigen, beta chain 1 [KO:K06459]","12526"
"Aire","autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy) [KO:K10603]","11634"
"Tap1","transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) [KO:K05653]","21354"
"Tap2","transporter 2, ATP-binding cassette, sub-family B (MDR/TAP) [KO:K05654]","21355"
"Lck","lymphocyte protein tyrosine kinase [KO:K05856] [EC:2.7.10.2]","16818"
"Zap70","zeta-chain (TCR) associated protein kinase [KO:K07360] [EC:2.7.10.2]","22637"
"Rfx5","regulatory factor X, 5 (influences HLA class II expression) [KO:K08061]","53970"
"Rfxap","regulatory factor X-associated protein [KO:K08063]","170767"
"Rfxank","regulatory factor X-associated ankyrin-containing protein [KO:K08062]","19727"
"Ciita","class II transactivator [KO:K08060]","12265"
"Orai1","ORAI calcium release-activated calcium modulator 1 [KO:K16056]","109305"
"Cd79a","CD79A antigen (immunoglobulin-associated alpha) [KO:K06506]","12518"
"Blnk","B cell linker [KO:K07371]","17060"
"Btk","Bruton agammaglobulinemia tyrosine kinase [KO:K07370] [EC:2.7.10.2]","12229"
"Ung","uracil DNA glycosylase [KO:K03648] [EC:3.2.2.27]","22256"
"Aicda","activation-induced cytidine deaminase [KO:K10989] [EC:3.5.4.38]","11628"
"Icos","inducible T cell co-stimulator [KO:K06713]","54167"
"Tnfrsf13c","tumor necrosis factor receptor superfamily, member 13c [KO:K05151]","72049"
"Cd19","CD19 antigen [KO:K06465]","12478"
"Tnfrsf13b","tumor necrosis factor receptor superfamily, member 13b [KO:K05150]","57916"
"Jak3","Janus kinase 3 [KO:K11218] [EC:2.7.10.2]","16453"
"Il2","interleukin 2 [KO:K05429]","16183"
"Fasl","Fas ligand (TNF superfamily, member 6) [KO:K04389]","14103"
"Fas","Fas (TNF receptor superfamily member 6) [KO:K04390]","14102"
"Gzmb","granzyme B [KO:K01353] [EC:3.4.21.79]","14939"
"Klrd1","killer cell lectin-like receptor, subfamily D, member 1 [KO:K06516]","16643"
"Klra1","killer cell lectin-like receptor, subfamily A, member 1","16627"
"Klra3","killer cell lectin-like receptor, subfamily A, member 3","16634"
